Month,Monthly Value,YoY Value,YoY Percent
08/01/1993 07:00:00,94%,3.5%,3.5%
09/01/1993 07:00:00,89.9%,2.2%,2.2%
10/01/1993 07:00:00,92.3%,4.4%,4.4%
11/01/1993 07:59:59,87.5%,3.3%,3.3%
12/01/1993 07:59:59,79.2%,4.8%,4.8%
01/01/1994 07:59:59,82.8%,6.6%,6.6%
02/01/1994 07:59:59,90.6%,1.8%,1.8%
03/01/1994 07:59:59,94.4%,5.8%,5.8%
04/01/1994 07:59:59,93.3%,2.8%,2.8%
05/01/1994 07:00:00,91.3%,4.8%,4.8%
06/01/1994 07:00:00,89.7%,2.8%,2.8%
07/01/1994 07:00:00,91.3%,0.3%,0.3%
08/01/1994 07:00:00,91%,-3%,-3%
09/01/1994 07:00:00,90.3%,0.4%,0.4%
10/01/1994 07:00:00,91.6%,-0.7%,-0.7%
11/01/1994 07:59:59,85.7%,-1.8%,-1.8%
12/01/1994 07:59:59,75.5%,-3.7%,-3.7%
01/01/1995 07:59:59,82.6%,-0.2%,-0.2%
02/01/1995 07:59:59,88.9%,-1.7%,-1.7%
03/01/1995 07:59:59,94.1%,-0.3%,-0.3%
04/01/1995 07:59:59,91.8%,-1.5%,-1.5%
05/01/1995 07:00:00,86.7%,-4.6%,-4.6%
06/01/1995 07:00:00,88.9%,-0.8%,-0.8%
07/01/1995 07:00:00,87.8%,-3.5%,-3.5%
08/01/1995 07:00:00,90.5%,-0.5%,-0.5%
09/01/1995 07:00:00,88.9%,-1.4%,-1.4%
10/01/1995 07:00:00,91.4%,-0.2%,-0.2%
11/01/1995 07:59:59,84.7%,-1%,-1%
12/01/1995 07:59:59,79.9%,4.4%,4.4%
01/01/1996 07:59:59,87.3%,4.7%,4.7%
02/01/1996 07:59:59,92.4%,3.5%,3.5%
03/01/1996 07:59:59,95.8%,1.7%,1.7%
04/01/1996 07:59:59,94.8%,3%,3%
05/01/1996 07:00:00,91.1%,4.4%,4.4%
06/01/1996 07:00:00,90.1%,1.2%,1.2%
07/01/1996 07:00:00,89.7%,1.9%,1.9%
08/01/1996 07:00:00,93.2%,2.7%,2.7%
09/01/1996 07:00:00,90.2%,1.3%,1.3%
10/01/1996 07:00:00,92.9%,1.5%,1.5%
11/01/1996 07:59:59,88.1%,3.4%,3.4%
12/01/1996 07:59:59,78.7%,-1.2%,-1.2%
01/01/1997 07:59:59,84.5%,-2.8%,-2.8%
02/01/1997 07:59:59,91.4%,-1%,-1%
03/01/1997 07:59:59,92.5%,-3.3%,-3.3%
04/01/1997 07:59:59,91.4%,-3.4%,-3.4%
05/01/1997 07:00:00,87.3%,-3.8%,-3.8%
06/01/1997 07:00:00,83.7%,-6.4%,-6.4%
07/01/1997 07:00:00,84.5%,-5.2%,-5.2%
08/01/1997 07:00:00,90.6%,-2.6%,-2.6%
09/01/1997 07:00:00,83.7%,-6.5%,-6.5%
10/01/1997 07:00:00,87.1%,-5.8%,-5.8%
11/01/1997 07:59:59,84.9%,-3.2%,-3.2%
12/01/1997 07:59:59,74.6%,-4.1%,-4.1%
01/01/1998 07:59:59,80.6%,-3.9%,-3.9%
02/01/1998 07:59:59,85.7%,-5.7%,-5.7%
03/01/1998 07:59:59,89.9%,-2.6%,-2.6%
04/01/1998 07:59:59,89.7%,-1.7%,-1.7%
05/01/1998 07:00:00,87.5%,0.2%,0.2%
06/01/1998 07:00:00,84.9%,1.2%,1.2%
07/01/1998 07:00:00,84.3%,-0.2%,-0.2%
08/01/1998 07:00:00,89.2%,-1.4%,-1.4%
09/01/1998 07:00:00,85.9%,2.2%,2.2%
10/01/1998 07:00:00,89.4%,2.3%,2.3%
11/01/1998 07:59:59,84.4%,-0.5%,-0.5%
12/01/1998 07:59:59,78%,3.4%,3.4%
01/01/1999 07:59:59,83.7%,3.1%,3.1%
02/01/1999 07:59:59,89.6%,3.9%,3.9%
03/01/1999 07:59:59,94.4%,4.5%,4.5%
04/01/1999 07:59:59,91.8%,2.1%,2.1%
05/01/1999 07:00:00,88.3%,0.8%,0.8%
06/01/1999 07:00:00,87.3%,2.4%,2.4%
07/01/1999 07:00:00,87.3%,3%,3%
08/01/1999 07:00:00,90.5%,1.3%,1.3%
09/01/1999 07:00:00,89.6%,3.7%,3.7%
10/01/1999 07:00:00,92.2%,2.8%,2.8%
11/01/1999 07:59:59,87.4%,3%,3%
12/01/1999 07:59:59,74.4%,-3.6%,-3.6%
01/01/2000 07:59:59,82.6%,-1.1%,-1.1%
02/01/2000 07:59:59,91.2%,1.6%,1.6%
03/01/2000 07:59:59,93%,-1.4%,-1.4%
04/01/2000 07:59:59,93.4%,1.6%,1.6%
05/01/2000 07:00:00,90.3%,2%,2%
06/01/2000 07:00:00,91.3%,4%,4%
07/01/2000 07:00:00,91.1%,3.8%,3.8%
08/01/2000 07:00:00,92%,1.5%,1.5%
09/01/2000 07:00:00,87.9%,-1.7%,-1.7%
10/01/2000 07:00:00,91.7%,-0.5%,-0.5%
11/01/2000 07:59:59,86.4%,-1%,-1%
12/01/2000 07:59:59,78.1%,3.7%,3.7%
01/01/2001 07:59:59,80.3%,-2.3%,-2.3%
02/01/2001 07:59:59,87.3%,-3.9%,-3.9%
03/01/2001 07:59:59,94.6%,1.6%,1.6%
04/01/2001 07:59:59,91.7%,-1.7%,-1.7%
05/01/2001 07:00:00,88%,-2.3%,-2.3%
06/01/2001 07:00:00,90.8%,-0.5%,-0.5%
07/01/2001 07:00:00,87.4%,-3.7%,-3.7%
08/01/2001 07:00:00,91.4%,-0.6%,-0.6%
09/01/2001 07:00:00,73.7%,-14.2%,-14.2%
10/01/2001 07:00:00,82.6%,-9.1%,-9.1%
11/01/2001 07:59:59,76.4%,-10%,-10%
12/01/2001 07:59:59,72.2%,-5.9%,-5.9%
01/01/2002 07:59:59,75.4%,-4.9%,-4.9%
02/01/2002 07:59:59,86%,-1.3%,-1.3%
03/01/2002 07:59:59,92.3%,-2.3%,-2.3%
04/01/2002 07:59:59,87.5%,-4.2%,-4.2%
05/01/2002 07:00:00,86.3%,-1.7%,-1.7%
06/01/2002 07:00:00,86.1%,-4.7%,-4.7%
07/01/2002 07:00:00,84.4%,-3%,-3%
08/01/2002 07:00:00,89.7%,-1.7%,-1.7%
09/01/2002 07:00:00,80.1%,6.4%,6.4%
10/01/2002 07:00:00,85.4%,2.8%,2.8%
11/01/2002 07:59:59,80.8%,4.4%,4.4%
12/01/2002 07:59:59,74.5%,2.3%,2.3%
01/01/2003 07:59:59,82.4%,7%,7%
02/01/2003 07:59:59,86.8%,0.8%,0.8%
03/01/2003 07:59:59,85.6%,-6.7%,-6.7%
04/01/2003 07:59:59,86%,-1.5%,-1.5%
05/01/2003 07:00:00,85.7%,-0.6%,-0.6%
06/01/2003 07:00:00,85.8%,-0.3%,-0.3%
07/01/2003 07:00:00,88%,3.6%,3.6%
08/01/2003 07:00:00,90%,0.3%,0.3%
09/01/2003 07:00:00,82.9%,2.8%,2.8%
10/01/2003 07:00:00,87.6%,2.2%,2.2%
11/01/2003 07:59:59,82.1%,1.3%,1.3%
12/01/2003 07:59:59,76.8%,2.3%,2.3%
01/01/2004 07:59:59,84.2%,1.8%,1.8%
02/01/2004 07:59:59,86.9%,0.1%,0.1%
03/01/2004 07:59:59,92.8%,7.2%,7.2%
04/01/2004 07:59:59,94%,8%,8%
05/01/2004 07:00:00,90.9%,5.2%,5.2%
06/01/2004 07:00:00,87.5%,1.7%,1.7%
07/01/2004 07:00:00,89.5%,1.5%,1.5%
08/01/2004 07:00:00,89.5%,-0.5%,-0.5%
09/01/2004 07:00:00,90.9%,8%,8%
10/01/2004 07:00:00,93.8%,6.2%,6.2%
11/01/2004 07:59:59,84.7%,2.6%,2.6%
12/01/2004 07:59:59,78.2%,1.4%,1.4%
01/01/2005 07:59:59,83.2%,-1%,-1%
02/01/2005 07:59:59,89.7%,2.8%,2.8%
03/01/2005 07:59:59,94.5%,1.7%,1.7%
04/01/2005 07:59:59,93.3%,-0.7%,-0.7%
05/01/2005 07:00:00,91.3%,0.4%,0.4%
06/01/2005 07:00:00,91.2%,3.7%,3.7%
07/01/2005 07:00:00,91.9%,2.4%,2.4%
08/01/2005 07:00:00,88.7%,-0.8%,-0.8%
09/01/2005 07:00:00,88.3%,-2.6%,-2.6%
10/01/2005 07:00:00,89.5%,-4.3%,-4.3%
11/01/2005 07:59:59,86.3%,1.6%,1.6%
12/01/2005 07:59:59,82.5%,4.3%,4.3%
01/01/2006 07:59:59,86.1%,2.9%,2.9%
02/01/2006 07:59:59,90.2%,0.5%,0.5%
03/01/2006 07:59:59,94.1%,-0.4%,-0.4%
04/01/2006 07:59:59,93.9%,0.6%,0.6%
05/01/2006 07:00:00,90.1%,-1.2%,-1.2%
06/01/2006 07:00:00,88.6%,-2.6%,-2.6%
07/01/2006 07:00:00,91.1%,-0.8%,-0.8%
08/01/2006 07:00:00,90.7%,2%,2%
